Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 09/22  02:00:00,0.467203653,0.675245107,0.00E+00,0.390106488,0.00E+00,1.07E-02,1.07E-02,1.07E-02,6.38E-02,1.39E-02,7.17E-02,0.28993559,0.265168518
 09/22  03:00:00,0.459482644,0.819832117,0.00E+00,0.529925218,0.00E+00,1.46E-02,1.46E-02,1.46E-02,6.38E-02,1.39E-02,6.42E-02,0.285854385,0.270217902
 09/22  04:00:00,0.463137129,1.053966112,0.00E+00,0.715583348,0.00E+00,1.97E-02,1.97E-02,1.97E-02,6.38E-02,1.39E-02,7.35E-02,0.275056198,0.319437522
 09/22  05:00:00,0.513607358,1.317196595,0.00E+00,0.759402363,0.00E+00,2.09E-02,2.09E-02,2.09E-02,6.84E-02,1.49E-02,8.54E-02,0.30694061,0.536652864
 09/22  06:00:00,0.680397982,1.605173253,0.00E+00,0.638514681,0.00E+00,1.76E-02,1.76E-02,1.76E-02,0.127649462,2.78E-02,0.135604843,0.354639691,0.942231801
 09/22  07:00:00,0.933803575,1.866382066,0.00E+00,0.787600606,0.00E+00,2.17E-02,2.17E-02,2.17E-02,0.241622204,5.26E-02,0.208909549,0.376831242,1.052826185
 09/22  08:00:00,0.869917274,1.787177203,0.00E+00,0.74233067,0.00E+00,2.04E-02,2.04E-02,2.04E-02,0.200592047,4.37E-02,0.269481467,0.318589049,1.022902847
 09/22  09:00:00,0.7612605,1.693916652,0.00E+00,0.742438604,0.00E+00,2.04E-02,2.04E-02,2.04E-02,0.100296024,2.19E-02,0.330413698,0.271145043,0.932802198
 09/22  10:00:00,0.751133661,1.41719663,0.00E+00,0.571392858,0.00E+00,1.57E-02,1.57E-02,1.57E-02,7.75E-02,1.69E-02,0.34638035,0.277521925,0.826688696
 09/22  11:00:00,0.754000595,0.907067599,0.00E+00,0.155419772,0.00E+00,4.28E-03,4.28E-03,4.28E-03,7.75E-02,1.69E-02,0.360615364,0.27760695,0.732526895
 09/22  12:00:00,0.734438152,0.678181076,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-02,1.69E-02,0.350008519,0.27293057,0.659382242
 09/22  13:00:00,0.712891298,0.63582836,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-02,1.69E-02,0.319023878,0.282368356,0.616379473
 09/22  14:00:00,0.703996592,0.594009141,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-02,1.69E-02,0.294229479,0.29826805,0.57346512
 09/22  15:00:00,0.727373129,0.600910438,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.75E-02,1.69E-02,0.301026121,0.314847944,0.579224432
 09/22  16:00:00,0.837630613,0.657324385,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.66E-02,1.89E-02,0.342617219,0.372409937,0.63167364
 09/22  17:00:00,1.04393939,0.775463871,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.127649462,2.78E-02,0.418947794,0.452418555,0.744302315
 09/22  18:00:00,1.209099395,0.882509188,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.237063298,5.17E-02,0.382084005,0.491190001,0.848677144
 09/22  19:00:00,1.366306247,0.901086267,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.433096355,9.44E-02,0.314732547,0.507004669,0.866164944
 09/22  20:00:00,1.611763546,0.841159962,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.647365121,0.141044366,0.28180723,0.524434815,0.805038091
 09/22  21:00:00,1.530244451,0.803596644,0.00E+00,3.84E-02,0.00E+00,1.06E-03,1.06E-03,1.06E-03,0.601776058,0.131111652,0.266994959,0.512191201,0.729871247
 09/22  22:00:00,1.236178412,0.993394209,0.00E+00,0.352056418,0.00E+00,9.69E-03,9.69E-03,9.69E-03,0.451331981,9.83E-02,0.216471564,0.443235845,0.610808719
